GeneSymbol	MCF7_FDI-6_0h_r1	MCF7_FDI-6_0h_r2	MCF7_FDI-6_0h_r3	MCF7_FDI-6_3h_r1	MCF7_FDI-6_3h_r2	MCF7_FDI-6_3h_r3	random1	random2	random3	random4
C19orf38	0.595300522021153	0.48393022957137	0.505371709769366	0.617762100527665	0.379637508268658	0.285877035245303	0.48393022957137	0.285877035245303	0.285877035245303	0.595300522021153
C19orf44	0.839378996911414	1.20656473235584	0.709374807201081	1.37196961471779	2.6441705007278	1.28721652980585	1.20656473235584	1.28721652980585	1.28721652980585	0.839378996911414
C19orf47	7.72979249666478	9.12168014261525	7.85704546903711	6.91101694598318	9.52496338117411	7.84908432285255	9.12168014261525	7.84908432285255	7.84908432285255	7.72979249666478
C19orf48	122.801249809026	143.462862073275	166.214343243893	205.095687605394	189.200021291481	195.015690021421	143.462862073275	195.015690021421	195.015690021421	122.801249809026
C19orf53	316.177598353058	306.118954877727	371.749741855739	335.695593509175	325.112110027833	291.748976629938	306.118954877727	291.748976629938	291.748976629938	316.177598353058
C19orf54	7.31501009356697	8.01040673318912	9.33314086236764	8.51945446064332	9.0169576614985	6.22786800682295	8.01040673318912	6.22786800682295	6.22786800682295	7.31501009356697
C19orf57	2.63667299794382	6.37672555819513	5.29936129720309	3.21007017614735	3.75566726417055	4.76388863370151	6.37672555819513	4.76388863370151	4.76388863370151	2.63667299794382
C19orf73	3.07495017215702	5.18410099099819	4.11511768281181	5.15314662740517	4.61741761488936	4.62024125552455	5.18410099099819	4.62024125552455	4.62024125552455	3.07495017215702
C19orf81	10.457576988468	12.6671824640751	17.3052956594886	15.5006264270537	25.7317014635332	15.1094821891133	12.6671824640751	15.1094821891133	15.1094821891133	10.457576988468
C1D	28.6526235420687	31.8203029429264	28.6306686701872	33.6299207317034	24.293651705516	30.0028657951378	31.8203029429264	30.0028657951378	30.0028657951378	28.6526235420687
C1GALT1	8.63633315480507	7.8421979766608	6.16817048757596	4.40621505994813	6.40128509973485	5.22261570722874	7.8421979766608	5.22261570722874	5.22261570722874	8.63633315480507
C1GALT1C1	18.5308453987059	21.6647049100707	22.3920847373244	19.9751645466981	16.5815969141162	17.3850560985134	21.6647049100707	17.3850560985134	17.3850560985134	18.5308453987059
C1GALT1C1L	1.50548247823563	2.16243511586623	0.850526981884135	1.53650259086828	2.09465247640303	0.945217711518062	2.16243511586623	0.945217711518062	0.945217711518062	1.50548247823563
C1orf105	1.85670448440599	0.0457341985477802	0.0457341985477802	0.819725335297032	0.745527982890679	0.793502322064126	0.0457341985477802	0.793502322064126	0.793502322064126	1.85670448440599
C1orf109	16.9450573091725	13.8550207957962	16.5890510994912	12.219074609073	14.5003267195402	15.4277141573588	13.8550207957962	15.4277141573588	15.4277141573588	16.9450573091725
C1orf112	12.0818472552753	10.596148532959	11.4486526630869	8.57205641143105	11.483762707207	12.3459812728985	10.596148532959	12.3459812728985	12.3459812728985	12.0818472552753
C1orf115	3.98055620248398	4.25747713126875	4.30055253942835	2.51801306916253	2.8878708329507	3.67293570089284	4.25747713126875	3.67293570089284	3.67293570089284	3.98055620248398
C1orf116	0.352235358377844	0.139128719845166	0.218436567584461	0.109313072989588	0.298798127449647	0.485756987260489	0.139128719845166	0.485756987260489	0.485756987260489	0.352235358377844
C1orf122	79.3776077130001	90.5025415127986	87.1186211003415	95.4918481425076	95.828930155314	83.7896149435038	90.5025415127986	83.7896149435038	83.7896149435038	79.3776077130001
C1orf131	46.0862521450031	36.6869739353329	38.9137543999	38.6982903871478	40.5181617640972	36.799905440571	36.6869739353329	36.799905440571	36.799905440571	46.0862521450031
C1orf159	5.91467105656675	11.2474066532111	9.89712940409689	7.70099610991492	7.06879608395024	7.68658128731528	11.2474066532111	7.68658128731528	7.68658128731528	5.91467105656675
C1orf162	0.126983281118729	0.251695725905934	0.0575124862742518	0.768736766543168	0.680002240640843	0.469657380612658	0.251695725905934	0.469657380612658	0.469657380612658	0.126983281118729
C1orf174	23.7826381228401	26.3920569366227	24.7934514519746	19.6844578734587	20.1979362247324	21.1193406105644	26.3920569366227	21.1193406105644	21.1193406105644	23.7826381228401
C1orf194	1.33655995334386	3.29663305894305	1.60209751128872	0.815396017305441	1.07718147492867	1.78490617913376	3.29663305894305	1.78490617913376	1.78490617913376	1.33655995334386
